time files tags foundfiles numtags
0.05112 39551 4991 0 3
0.003702 39946 5034 1 1
0.038883 40021 5043 0 4
0.006645 42372 5286 0 3
0.047982 42808 5321 0 3
0.096133 43718 5409 0 2
0.07259 44563 5489 0 3
0.050967 44651 5497 0 4
0.129683 45969 5634 0 2
0.038155 46178 5649 0 2
0.010283 46220 5655 0 3
0.025207 46569 5695 0 5
0.011216 47053 5740 0 4
0.006893 47645 5793 0 4
0.008643 48109 5839 0 3
0.008453 48116 5840 28 1
0.009347 48879 5912 0 4
0.030787 49614 5985 0 6
0.007963 49848 6007 11 1
0.020616 50574 6076 0 6
0.011531 50677 6090 0 5
0.014264 50685 6093 42 1
0.008454 51993 6210 0 3
0.014458 52154 6231 0 6
0.037106 52738 6290 131 1
0.070647 53043 6319 0 2
0.026282 53959 6436 0 2
0.010903 54003 6444 0 2
0.027215 57690 6801 0 6
0.011771 57916 6825 0 10
0.013277 58505 6887 0 6
0.019061 59551 7009 0 14
0.010834 64370 7488 0 6
0.017017 64480 7499 35 1
